mul,capacitance_fF,temperature_C,voltage_V,frequency_Hz
1,3.505,0,0.9,1882260000
2,7.01,0,0.9,1513230000
3,10.515,0,0.9,1287330000
4,14.02,0,0.9,1137990000
5,17.525,0,0.9,1030530000
6,21.03,0,0.9,950865000
7,24.535,0,0.9,888827000
8,28.04,0,0.9,838508000
9,31.545,0,0.9,797019000
10,35.05,0,0.9,761655000
11,38.555,0,0.9,730993000
12,42.06,0,0.9,703663000
13,45.565,0,0.9,680453000
14,49.07,0,0.9,659464000
15,52.575,0,0.9,639965000
16,56.08,0,0.9,622782000
17,59.585,0,0.9,606362000
18,63.09,0,0.9,592108000
19,66.595,0,0.9,578600000
20,70.1,0,0.9,566030000
1,3.505,27,0.9,1712280000
2,7.01,27,0.9,1382830000
3,10.515,27,0.9,1179910000
4,14.02,27,0.9,1045660000
5,17.525,27,0.9,951358000
6,21.03,27,0.9,879675000
7,24.535,27,0.9,824586000
8,28.04,27,0.9,779788000
9,31.545,27,0.9,743213000
10,35.05,27,0.9,711519000
11,38.555,27,0.9,684196000
12,42.06,27,0.9,661004000
13,45.565,27,0.9,640436000
14,49.07,27,0.9,621234000
15,52.575,27,0.9,604673000
16,56.08,27,0.9,589396000
17,59.585,27,0.9,575640000
18,63.09,27,0.9,562615000
19,66.595,27,0.9,551160000
20,70.1,27,0.9,540055000
1,3.505,55,0.9,1559090000
2,7.01,55,0.9,1264070000
3,10.515,55,0.9,1082300000
4,14.02,55,0.9,962137000
5,17.525,55,0.9,877147000
6,21.03,55,0.9,813909000
7,24.535,55,0.9,765141000
8,28.04,55,0.9,725424000
9,31.545,55,0.9,692553000
10,35.05,55,0.9,664772000
11,38.555,55,0.9,640400000
12,42.06,55,0.9,619727000
13,45.565,55,0.9,601286000
14,49.07,55,0.9,584389000
15,52.575,55,0.9,570409000
16,56.08,55,0.9,556696000
17,59.585,55,0.9,544033000
18,63.09,55,0.9,532984000
19,66.595,55,0.9,522620000
20,70.1,55,0.9,512915000
1,3.505,80,0.9,1437800000
2,7.01,80,0.9,1169900000
3,10.515,80,0.9,1004600000
4,14.02,80,0.9,895200000
5,17.525,80,0.9,818350000
6,21.03,80,0.9,760950000
7,24.535,80,0.9,716070000
8,28.04,80,0.9,680260000
9,31.545,80,0.9,651160000
10,35.05,80,0.9,626120000
11,38.555,80,0.9,603620000
12,42.06,80,0.9,585770000
13,45.565,80,0.9,568260000
14,49.07,80,0.9,553470000
15,52.575,80,0.9,540220000
16,56.08,80,0.9,527720000
17,59.585,80,0.9,516800000
18,63.09,80,0.9,506850000
19,66.595,80,0.9,497220000
20,70.1,80,0.9,488220000
1,3.505,0,1.0,2551140000
2,7.01,0,1.0,2068910000
3,10.515,0,1.0,1777360000
4,14.02,0,1.0,1587780000
5,17.525,0,1.0,1455040000
6,21.03,0,1.0,1357830000
7,24.535,0,1.0,1279920000
8,28.04,0,1.0,1218520000
9,31.545,0,1.0,1166710000
10,35.05,0,1.0,1123960000
11,38.555,0,1.0,1085690000
12,42.06,0,1.0,1052410000
13,45.565,0,1.0,1022530000
14,49.07,0,1.0,995707000
15,52.575,0,1.0,971630000
16,56.08,0,1.0,949279000
17,59.585,0,1.0,929732000
18,63.09,0,1.0,911714000
19,66.595,0,1.0,893485000
20,70.1,0,1.0,878161000
1,3.505,27,1.0,2317110000
2,7.01,27,1.0,1885950000
3,10.515,27,1.0,1624650000
4,14.02,27,1.0,1455870000
5,17.525,27,1.0,1337240000
6,21.03,27,1.0,1249470000
7,24.535,27,1.0,1182030000
8,28.04,27,1.0,1126980000
