mul,capacitance_fF,temperature_C,voltage_V,frequency_Hz
1,3.505,27,1.1,2889870000
2,7.010,27,1.1,2370240000
3,10.515,27,1.1,2062660000
4,14.020,27,1.1,1867420000
5,17.525,27,1.1,1734200000
6,21.030,27,1.1,1635710000
7,24.535,27,1.1,1560090000
8,28.040,27,1.1,1499050000
9,31.545,27,1.1,1448840000
10,35.050,27,1.1,1407130000
11,38.555,27,1.1,1369040000
12,42.060,27,1.1,1336300000
13,45.565,27,1.1,1307080000
14,49.070,27,1.1,1281720000
15,52.575,27,1.1,1258390000
16,56.080,27,1.1,1236240000
17,59.585,27,1.1,1216000000
18,63.090,27,1.1,1197680000
19,66.595,27,1.1,1181940000
20,70.100,27,1.1,1165000000
